"Mérési idő","Energy (Wh)"
" 01.2021","0"
" 02.2021","0"
" 03.2021","0"
" 04.2021","0"
" 05.2021","0"
" 06.2021","0"
" 07.2021","0"
" 08.2021","0"
" 09.2021","15495"
" 10.2021","2791739"
" 11.2021","1643157"
" 12.2021","1024405"
" 01.2022","1810811"
" 02.2022","2825295"
" 03.2022","4219599"
" 04.2022","4256964"
" 05.2022","5141717"
" 06.2022","6012757"
" 07.2022","5893771"
" 08.2022","4724873"
" 09.2022","3283249"
" 10.2022","2767277"
" 11.2022","1033729"
" 12.2022","711871"
" 01.2023","940470"
" 02.2023","2103830"
" 03.2023","3545418"
" 04.2023","3947011"
" 05.2023","5187980"
" 06.2023","6624997"
" 07.2023","7124654"
" 08.2023","5917789"
" 09.2023","5072216"
" 10.2023","3442411"
" 11.2023","1832867"
" 12.2023","997179"
" 01.2024","1538358"
" 02.2024","2716877"
" 03.2024","4330163"
" 04.2024","5660901"
" 05.2024","6361055"
" 06.2024","5870281"
" 07.2024","6837237"
" 08.2024","6335484"
" 09.2024","3720597"
" 10.2024","3216972"
" 11.2024","1560732"
" 12.2024","937170"
" 01.2025","1340041"
" 02.2025","2512973"
" 03.2025","4082737"
" 04.2025","5154405"
" 05.2025","5814795"
" 06.2025","7164447"
" 07.2025","5351130"
" 08.2025","5989129"
" 09.2025","4237108"
" 10.2025","3009985"
" 11.2025","1519357"
" 12.2025","764624"
" 01.2026","47045"
" 02.2026","0"
" 03.2026","0"
" 04.2026","0"
" 05.2026","0"
" 06.2026","0"
" 07.2026","0"
" 08.2026","0"
" 09.2026","0"
" 10.2026","0"
" 11.2026","0"
" 12.2026","0"
