"Mérési idő","Energy (Wh)"
" 01.2022","0"
" 02.2022","0"
" 03.2022","0"
" 04.2022","0"
" 05.2022","374133"
" 06.2022","2679925"
" 07.2022","2574532"
" 08.2022","2114038"
" 09.2022","1460960"
" 10.2022","1148923"
" 11.2022","423446"
" 12.2022","312698"
" 01.2023","434597"
" 02.2023","999905"
" 03.2023","1705005"
" 04.2023","2006829"
" 05.2023","2173775"
" 06.2023","2378937"
" 07.2023","2540903"
" 08.2023","2108639"
" 09.2023","1731253"
" 10.2023","1165297"
" 11.2023","612011"
" 12.2023","369146"
" 01.2024","557694"
" 02.2024","989894"
" 03.2024","1687276"
" 04.2024","2212909"
" 05.2024","2367359"
" 06.2024","2347024"
" 07.2024","2457684"
" 08.2024","2229353"
" 09.2024","1377762"
" 10.2024","1130265"
" 11.2024","499476"
" 12.2024","334845"
" 01.2025","509122"
" 02.2025","937786"
" 03.2025","1521486"
" 04.2025","2033892"
" 05.2025","2168168"
" 06.2025","2540033"
" 07.2025","2273184"
" 08.2025","2155581"
" 09.2025","1476130"
" 10.2025","1054784"
" 11.2025","527292"
" 12.2025","283954"
" 01.2026","41924"
" 02.2026","0"
" 03.2026","0"
" 04.2026","0"
" 05.2026","0"
" 06.2026","0"
" 07.2026","0"
" 08.2026","0"
" 09.2026","0"
" 10.2026","0"
" 11.2026","0"
" 12.2026","0"
