"Mérési idő","Energy (Wh)"
" 01.2020","0"
" 02.2020","0"
" 03.2020","0"
" 04.2020","0"
" 05.2020","0"
" 06.2020","0"
" 07.2020","0"
" 08.2020","0"
" 09.2020","0"
" 10.2020","60698"
" 11.2020","387089"
" 12.2020","170833"
" 01.2021","249535"
" 02.2021","737086"
" 03.2021","1337197"
" 04.2021","1296525"
" 05.2021","1583739"
" 06.2021","2107867"
" 07.2021","1882830"
" 08.2021","1653089"
" 09.2021","1369886"
" 10.2021","966632"
" 11.2021","418525"
" 12.2021","302357"
" 01.2022","493800"
" 02.2022","768533"
" 03.2022","1393262"
" 04.2022","1366870"
" 05.2022","1719898"
" 06.2022","1998119"
" 07.2022","1945131"
" 08.2022","1573644"
" 09.2022","1114883"
" 10.2022","942404"
" 11.2022","337521"
" 12.2022","262382"
" 01.2023","329058"
" 02.2023","681321"
" 03.2023","1125251"
" 04.2023","1232729"
" 05.2023","1412148"
" 06.2023","1668335"
" 07.2023","1804620"
" 08.2023","1536125"
" 09.2023","1357256"
" 10.2023","906137"
" 11.2023","464996"
" 12.2023","291623"
" 01.2024","405381"
" 02.2024","663046"
" 03.2024","1053940"
" 04.2024","1454085"
" 05.2024","1609033"
" 06.2024","1645578"
" 07.2024","1787621"
" 08.2024","1639887"
" 09.2024","1056219"
" 10.2024","848430"
" 11.2024","402116"
" 12.2024","263190"
" 01.2025","327366"
" 02.2025","600983"
" 03.2025","966936"
" 04.2025","1254140"
" 05.2025","1391730"
" 06.2025","1850749"
" 07.2025","1642585"
" 08.2025","1590192"
" 09.2025","1025245"
" 10.2025","789713"
" 11.2025","383387"
" 12.2025","82162"
