"Mérési idő","Energy (Wh)"
" 01.2021","0"
" 02.2021","0"
" 03.2021","0"
" 04.2021","0"
" 05.2021","0"
" 06.2021","0"
" 07.2021","0"
" 08.2021","0"
" 09.2021","0"
" 10.2021","723"
" 11.2021","0"
" 12.2021","0"
" 01.2022","0"
" 02.2022","0"
" 03.2022","0"
" 04.2022","0"
" 05.2022","196839"
" 06.2022","8554860"
" 07.2022","8253672"
" 08.2022","6450159"
" 09.2022","4317449"
" 10.2022","3286967"
" 11.2022","1257553"
" 12.2022","942057"
" 01.2023","1177100"
" 02.2023","2404811"
" 03.2023","4357496"
" 04.2023","5254646"
" 05.2023","6124573"
" 06.2023","7303955"
" 07.2023","7792203"
" 08.2023","6342070"
" 09.2023","5076338"
" 10.2023","3173172"
" 11.2023","1630019"
" 12.2023","932134"
" 01.2024","1289614"
" 02.2024","2395798"
" 03.2024","4175160"
" 04.2024","5968278"
" 05.2024","6968670"
" 06.2024","7131355"
" 07.2024","7699499"
" 08.2024","6693312"
" 09.2024","3968557"
" 10.2024","2965972"
" 11.2024","1385813"
" 12.2024","918474"
" 01.2025","1234985"
" 02.2025","2242921"
" 03.2025","3921252"
" 04.2025","5509932"
" 05.2025","6648399"
" 06.2025","8194157"
" 07.2025","7226444"
" 08.2025","6727517"
" 09.2025","4438357"
" 10.2025","2920291"
" 11.2025","1404347"
" 12.2025","792978"
" 01.2026","102837"
" 02.2026","0"
" 03.2026","0"
" 04.2026","0"
" 05.2026","0"
" 06.2026","0"
" 07.2026","0"
" 08.2026","0"
" 09.2026","0"
" 10.2026","0"
" 11.2026","0"
" 12.2026","0"
